,id,title,url,description,imageUrls,price,location
0,1715769881,women's skis,https://kijiji.ca/v-ski/edmonton/womens-skis/1715769881,"I'm selling a pair of women's skis, perfect for hitting the slopes this winter! These skis are 149 cm long and come with bindings and poles. They also include a carrying bag for easy transport and ...",['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/71/717b83a3-17c3-416a-b957-5c6b2567c20c?rule=kijijica-200-jpg'],11000.0,Edmonton
1,1724910420,2025 Blizzard Rustler 10 Downhill Skis,https://kijiji.ca/v-ski/strathcona-county/2025-blizzard-rustler-10-downhill-skis/1724910420,Used One day 2025 Blizzard Rustler 10 Skis with Marker 13 Sole ID Bindings $550 168 cm long side cut 132/102/122,['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/7d/7d72fd6f-bd25-4273-b129-5df64df63ede?rule=kijijica-200-jpg'],50000.0,Strathcona County
2,1724896551,OOB Ski or Snowboard Bag,https://kijiji.ca/v-bags-luggage/edmonton/oob-ski-or-snowboard-bag/1724896551,"This OOB Ski or Snowboard Bag is perfect for hauling your gear to the slopes! While it has been used, it's still in fair condition and ready for many more adventures. It can be yours for a steal of a ...",['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/03/032b0db3-f60f-4f9a-8fdc-78a5a64409b4?rule=kijijica-200-jpg'],3000.0,Edmonton
3,1711621971,Brand new K2 Fuse board (Roxy board SOLD),https://kijiji.ca/v-snowboard/edmonton/brand-new-k2-fuse-board-roxy-board-sold/1711621971,***ROXY BOARD IS SOLD*** Meet at the Clareview Recreation Centre for pickup! I don't know anything about boards - I bought mine some time ago and literally never used it (still wrapped) and it's just ...,['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d2/d2e656ce-23bb-463a-9912-92a515e52346?rule=kijijica-200-jpg'],30000.0,Northeast Edmonton
4,1716547422,Sims youth Snowboard Boots,https://kijiji.ca/v-snowboard/edmonton/sims-youth-snowboard-boots/1716547422,"Selling Sims snowboard boots, size 11.5 youth. These boots are in good condition and ready for the slopes! They have some wear, but tons of life left. * Brand: Sims * Size: 11.5 youth",['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/fa/fa42e0b3-1b9c-43e2-88e4-e954e50bc5ba?rule=kijijica-200-jpg'],2100.0,Edmonton
5,1724876121,Ski-Ski;,https://kijiji.ca/v-ski/edmonton/ski-ski/1724876121,Ski - only what you see on the picture is available Price - $ 100.00,['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/b2/b21857fb-3bf9-493b-a05a-ee42e95ef542?rule=kijijica-200-jpg'],10000.0,Edmonton
6,1724873587,Vintage Barbie Doll Furniture Lot Pool Camper Table Chair Desk L,https://kijiji.ca/v-toys-games/strathcona-county/vintage-barbie-doll-furniture-lot-pool-camper-table-chair-desk-l/1724873587,Vintage Barbie Doll Furniture Lot Pool Camper Table Chair Desk Locker Jet Ski House Mattel Read. You Have Great Taste! Pick Up Only In Sherwood Park. CROSS POSTED. Will Hold With E-Transfer Payment. ...,['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/26/26ca26de-201f-4dba-bcaa-3affc8866dcf?rule=kijijica-200-jpg'],5000.0,Sherwood Park
7,1724872984,143cm Dynastar Speed GS race ski,https://kijiji.ca/v-ski/edmonton/143cm-dynastar-speed-gs-race-ski/1724872984,143cm Dynastar Speed GS skis with Look SPX 10 bindings. Purchased new in October 2024 . Used 1 season. Bases and edges in excellent condition. $250,['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/2b/2bcad151-829a-47d3-b450-0b9ef3d6dae2?rule=kijijica-200-jpg'],25000.0,Brookside
8,1724840661,2003 Mastercraft X7 ski and wakeboard competition boat,https://kijiji.ca/v-water-sport/edmonton/2003-mastercraft-x7-ski-and-wakeboard-competition-boat/1724840661,"2003 Marstercraft X7 Great family boat for skiing, wakeboarding, kneeboarding, and surfing - open front bow for extra seating and storage - 315 hp - right in that 500 hrs - trailer completely redone ...",['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/7c/7cfb3ac9-311a-477b-b75f-abafad3be796?rule=kijijica-200-jpg'],3000000.0,St. Albert
9,1724833734,men’s volkl ski package,https://kijiji.ca/v-ski/edmonton/men-s-volkl-ski-package/1724833734,"Only used 4 times thought I would take up skiing again. The skis are sharpened and waxed. The boots are super comfy size 12 and are 110. The jacket is new never worn, pants are worn 2 times. Poles ...",['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/c2/c22dc0b8-1125-425e-a8a7-de10763b8c08?rule=kijijica-200-jpg'],180000.0,Edmonton
10,1577504300,Swix Ski glidewax,https://kijiji.ca/v-hobbies-craft/edmonton/swix-ski-glidewax/1577504300,60 g Pick up hermitage Northside,['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/1a/1adb64f9-ee1b-4299-bf1d-5cfae01d548c?rule=kijijica-200-jpg'],1500.0,Northeast Edmonton
11,1724804430,SPY + SKI GOGGLES,https://kijiji.ca/v-ski/edmonton/spy-ski-goggles/1724804430,"These two goggles are in excellent condition, no marks, no scratches. We have used them two times. Come with extra lenses never been installed ( still have protective films on them) So If you and ...",['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/47/47f6b66d-908d-4998-8d07-bd9187ea3c15?rule=kijijica-200-jpg'],12000.0,Edmonton
12,1682650893,vintage san marco ski boots pink and white ex 850,https://kijiji.ca/v-ski/st-albert/vintage-san-marco-ski-boots-pink-and-white-ex-850/1682650893,PLEASE read the ad carefully My name - My name is Matt Peter. You can see me on facebook (bald guy) Selection - I have LOTS of items similar to this one. If you text me and include your email address ...,['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/1e/1e5beadf-d278-4ea9-b51f-2b20c2d06417?rule=kijijica-200-jpg'],5000.0,Sturgeon County
13,1724771037,Rosignol S ski jacket,https://kijiji.ca/v-clothing-kid-youth/edmonton/rosignol-s-ski-jacket/1724771037,"This is a Rossignol size S ski jacket, perfect for hitting the slopes! It's in good condition, ready to keep your little one warm and stylish during their winter adventures. * Brand: Rossignol * ...",['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/5c/5c10f214-3a86-44d3-b678-efa0054262ad?rule=kijijica-200-jpg'],7500.0,Edmonton
